Index,Molecule,Smile
347,L-beta-Lysine,NCCCC(N)CC(=O)O
348,L-alfa-Aminocaprolactam,N[C@H]1CCCCNC1=O
349,5-Aminopentanamide,NCCCCC(N)=O
350,6-Aminocaproic acid,NCCCCCC(=O)O
351,Caprolactam,O=C1CCCCCN1
352,Valerolactam,O=C1CCCCN1
353,5-Aminovaleric acid,NCCCCC(=O)O
354,"Polyamide 6,5",CNCCCCCC(=O)NCCCCCC(C)=O
355,7-Hydroxyheptanoic acid,O=C(O)CCCCCCO
356,Pimelic acid,O=C(O)CCCCCC(=O)O
357,Glutaric acid,O=C(O)CCCC(=O)O
358,Glutarate semialdehyde,O=CCCCC(=O)O
359,"Polyamide 5,10",CNCCCCCNC(=O)CCCCCCCCC(C)=O
360,"Polyamide 4,10",CNCCCCNC(=O)CCCCCCCCC(C)=O
361,Putrescine,NCCCCN
362,Isobutyl acetate,CC(=O)OCC(C)C
363,Oxaloacetate,O=C(O)CC(=O)C(=O)O
364,Citrate,O=C(O)CC(O)(CC(=O)O)C(=O)O
365,Sebacic acid,O=C(O)CCCCCCCCC(=O)O
366,Malate,O=C(O)CC(O)C(=O)O
367,"2,4-Dihydroxybutyrate",O=C(O)C(O)CCO
368,Methylhydrogenfumarate,COC(=O)C=CC(=O)O
369,Dimethylfumarate,COC(=O)C=CC(=O)OC
370,Ethylhydrogenfumarate,CCOC(=O)C=CC(=O)O
371,Fumarate,O=C(O)C=CC(=O)O
372,Suberic acid,O=C(O)CCCCCCC(=O)O
373,Glyoxylate,O=CC(=O)O
374,6-Hydroxyhexanoic acid,O=C(O)CCCCCO
375,Succinyl-CoA,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CCC(=O)O
376,Succinate,O=C(O)CCC(=O)O
377,Succinate semialdehyde,O=CCCC(=O)O
378,"2,3-Dihydroxybutyrate",CC(O)C(O)C(=O)O
379,Oxalic acid,O=C(O)C(=O)O
380,beta-Hydroxy-y-butyrolactone,O=C1CC(O)CO1
381,Butyrolactam,O=C1CCCN1
382,Succinic anhydride,O=C1CCC(=O)O1
383,"4,Hydroxybutyric acid",O=C(O)CCCO
384,Maleic anhydride,O=C1C=CC(=O)O1
385,N-Methylpyrrolidone,CN1CCCC1=O
386,Glycolaldehyde,O=CCO
387,"1,4-Dioxane",C1COCCO1
388,y-Butyrolactone,O=C1CCCO1
389,4-Hydroxybutyryl-CoA,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CCCO
390,4-Hydroxybutyraldehyde,O=CCCCO
391,Tetrahydrofuran,C1CCOC1
392,cis-Aconitate,O=C(O)C=C(CC(=O)O)C(=O)O
393,Itaconic acid,C=C(CC(=O)O)C(=O)O
394,Methacrylic acid,C=C(C)C(=O)O
395,L-Homocarnosine,NCCCC(=O)N[C@@H](Cc1cnc[nH]1)C(=O)O
396,4-Guanidinobutanoate,NC(N)=NCCCC(=O)O
397,Isocitrate,O=C(O)CC(C(=O)O)C(O)C(=O)O
398,D-Glucosamine 6-phosphate,N[C@H]1C(O)O[C@H](COP(=O)(O)O)[C@@H](O)[C@@H]1O
399,alfa-Ketoglutarate,O=C(O)CCC(=O)C(=O)O
400,2-Oxoglutaryl-CoA,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)C(O)C(=O)NCCC(=O)NCCSC(=O)C(=O)CCC(=O)O
401,(S)-5-Hydroxy-2-furoyl-CoA,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)c1ccc(O)o1
402,2-Furoyl-CoA,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)c1ccco1
403,2-Furoate,O=C(O)c1ccco1
404,L-Glutamine,NC(=O)CC[C@H](N)C(=O)O
405,4-Aminobutyraldehyde,NCCCC=O
406,L-Glutamate,N[C@@H](CCC(=O)O)C(=O)O
407,N-Acetyl-L-ornithine,CC(=O)N[C@@H](CCCN)C(=O)O
408,L-Ornithine,NCCC[C@H](N)C(=O)O
409,N-Carbamoyl putrescine,NCCCCNC(N)=O
410,Scopolamine,CN1C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12
411,Tropine,CN1C2CCC1CC(O)C2
412,Hyoscyamine,CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2
413,L-Citruline,NC(=O)NCCC[C@H](N)C(=O)O
414,L-Theanine,CCNC(=O)CC[C@H](N)C(=O)O
415,D-Glutamate,NC(CCC(=O)O)C(=O)O
416,L-Proline,O=C(O)[C@@H]1CCCN1
417,1-Pyrroline-2-carboxylate,O=C(O)C1=NCCC1
418,L-1-Pyrroline-5-carboxylate,O=C(O)[C@@H]1CCC=N1
419,Arginosuccinate,NC(=NCCCC(N)C(=O)O)NC(CC(=O)O)C(=O)O
420,Agmatine,NCCCCN=C(N)N
421,L-Hydroxyproline,O=C(O)C1CC(O)CN1
422,L-Arginine,NC(N)=NCCC[C@H](N)C(=O)O
423,Feruloylagmatine,COc1cc(C=CC(=O)NCCCCN=C(N)N)ccc1O
424,D-Proline,O=C(O)C1CCCN1
425,Proclavaminate,NCCC(O)C(C(=O)O)N1CCC1=O
426,Octopine,CC(NC(CCCN=C(N)N)C(=O)O)C(=O)O
427,Spermidine,NCCCCNCCCN
428,Homospermidine,NCCCCNCCCCN
429,2-Oxoarginine,NC(N)=NCCCC(=O)C(=O)O
430,Thermospermine,NCCCCNCCCNCCCN
431,Nopaline,NC(N)=NCCCC(NC(CCC(=O)O)C(=O)O)C(=O)O
432,Spermine,NCCCNCCCCNCCCN
433,Santalene,CC(C)=CCCC1(C)C2CC3C(C2)C31C
434,4-Hydroxybenzoate-CoA,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)c1ccc(O)cc1
435,Carminic acid,Cc1c(C(=O)O)c(O)cc2c1C(=O)c1c(O)c(C3OC(CO)C(O)C(O)C3O)c(O)c(O)c1C2=O
436,m-Cresol,Cc1cccc(O)c1
437,Pentadecaheptaene,C=CC=CC=CC=CC=CC=CC=CC
438,pseudo Malonyl-CoA,CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(O)=NCCC(O)=NCCSC(=O)CC(=O)O
439,Starch,
440,Hemicellulose,
441,Cellulose,
442,Levulinate ester,
443,Polyethylene furanoate,
444,Poly(3HB-co-PhLA),
445,FAEE,
446,FAME,
447,Enoyl-ACP,
448,beta-Hydroxy acyl-ACP,
449,Alkene,
450,Fatty alcohol,
451,Fatty acids,
452,Alkane,
453,beta-Keto acyl-ACP,
454,Acyl-ACP,
455,Malonyl-ACP,
456,Acetyl-ACP,
457,3-Penanone,
458,6-Methylsalicylic acid,
459,Poly(trimethylene terephtalate),
460,Poly(beta-malic acid)(PLMA),
461,Poly(lactic-co-glycolic acic),
462,Poly(ethylene terephthalate),
463,Poly(butylene terephthalate),
464,Poly(tetrahydrofuran),
465,Poly(y-glutamic acid),
466,Polylactic acid,
467,Poly(4-hydroxybenzoate),
468,Polyethylene,
